Ticker,MICROSOFT CORPORATION (XNAS:MSFT),"Microsoft Corporation is a technology company. The Company develops and supports software, services, devices, and solutions. The Company’s segments include Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment consists of products and services in its portfolio of productivity, communication, and information services. This segment primarily comprises: Office Commercial, Office Consumer, LinkedIn, and Dynamics business solutions. The Intelligent Cloud segment consists of server products and cloud services, including Azure and other cloud services, SQL Server, Windows Server, Visual Studio, System Center, and related Client Access Licenses (CALs), and Nuance and GitHub; and Enterprise Services, including enterprise support services, industry solutions and Nuance professional services. The More Personal Computing segment primarily comprises Windows, Devices, Gaming, and search and news advertising.",MICROSOFT CORPORATION,,,,,,,,,,,
End Date,27/02/2026,,Variance log-returns (daily),0.000287076,,T,1,,u,1.088777,,,,
Lookback,10,,StDev log-returns (daily),0.016943329,,N time steps,10,,d,0.918462,,,,
Start Date,01/03/2016,,No. of obs.,252,,dt,0.1,,r,0.038,,,,
Frequency,0,,StDev (annualized),0.268967007,,,,,q,0.501103,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Closing price,Log-returns,,,,,,,,,,,,
02/11/2021, $333.13 ,0.011351065,,,,,,,,,,,,
03/11/2021, $334.00 ,0.002608189,,,,,,,,,,,,
04/11/2021, $336.44 ,0.007278834,,,,,,,,,,,,
05/11/2021, $336.06 ,-0.001130112,,,,,,,,,,,,
08/11/2021, $336.99 ,0.002763541,,,,,,,,,,,,
09/11/2021, $335.95 ,-0.003090917,,,,,,,,,,,,
10/11/2021, $330.80 ,-0.015448376,,,,,,,,,,,,
11/11/2021, $332.43 ,0.004915348,,,,,,,,,,,,
12/11/2021, $336.72 ,0.012822413,,,,,,,,,,,,
15/11/2021, $336.07 ,-0.001932253,,,,,,,,,,,,
16/11/2021, $339.51 ,0.01018393,,,,,,,,,,,,
17/11/2021, $339.12 ,-0.001149375,,,,,,,,,,,,
18/11/2021, $341.27 ,0.006319926,,,,,,,,,,,,
19/11/2021, $343.11 ,0.005377143,,,,,,,,,,,,
22/11/2021, $339.83 ,-0.009605603,,,,,,,,,,,,
23/11/2021, $337.68 ,-0.006346791,,,,,,,,,,,,
24/11/2021, $337.91 ,0.000680886,,,,,,,,,,,,
26/11/2021, $329.68 ,-0.024657101,,,,,,,,,,,,
29/11/2021, $336.63 ,0.020861917,,,,,,,,,,,,
30/11/2021, $330.59 ,-0.018105467,,,,,,,,,,,,
01/12/2021, $330.08 ,-0.001543888,,,,,,,,,,,,
02/12/2021, $329.49 ,-0.001789045,,,,,,,,,,,,
03/12/2021, $323.01 ,-0.019862722,,,,,,,,,,,,
06/12/2021, $326.19 ,0.009796751,,,,,,,,,,,,
07/12/2021, $334.92 ,0.026411664,,,,,,,,,,,,
08/12/2021, $334.97 ,0.000149278,,,,,,,,,,,,
09/12/2021, $333.10 ,-0.00559823,,,,,,,,,,,,
10/12/2021, $342.54 ,0.027945694,,,,,,,,,,,,
13/12/2021, $339.40 ,-0.009209086,,,,,,,,,,,,
14/12/2021, $328.34 ,-0.033129696,,,,,,,,,,,,
15/12/2021, $334.65 ,0.019035553,,,,,,,,,,,,
16/12/2021, $324.90 ,-0.029567767,,,,,,,,,,,,
17/12/2021, $323.80 ,-0.003391401,,,,,,,,,,,,
20/12/2021, $319.91 ,-0.012086335,,,,,,,,,,,,
21/12/2021, $327.29 ,0.022806922,,,,,,,,,,,,
22/12/2021, $333.20 ,0.017896282,,,,,,,,,,,,
23/12/2021, $334.69 ,0.00446182,,,,,,,,,,,,
27/12/2021, $342.45 ,0.022920931,,,,,,,,,,,,
28/12/2021, $341.25 ,-0.003510315,,,,,,,,,,,,
29/12/2021, $341.95 ,0.002049181,,,,,,,,,,,,
30/12/2021, $339.32 ,-0.007720913,,,,,,,,,,,,
31/12/2021, $336.32 ,-0.008880527,,,,,,,,,,,,
03/01/2022, $334.75 ,-0.004679103,,,,,,,,,,,,
04/01/2022, $329.01 ,-0.017295839,,,,,,,,,,,,
05/01/2022, $316.38 ,-0.039144123,,,,,,,,,,,,
06/01/2022, $313.88 ,-0.007933276,,,,,,,,,,,,
07/01/2022, $314.04 ,0.000509619,,,,,,,,,,,,
10/01/2022, $314.27 ,0.000732123,,,,,,,,,,,,
11/01/2022, $314.98 ,0.002256656,,,,,,,,,,,,
12/01/2022, $318.27 ,0.010390934,,,,,,,,,,,,
13/01/2022, $304.80 ,-0.043244255,,,,,,,,,,,,
14/01/2022, $310.20 ,0.017561427,,,,,,,,,,,,
18/01/2022, $302.65 ,-0.024640228,,,,,,,,,,,,
19/01/2022, $303.33 ,0.002244299,,,,,,,,,,,,
20/01/2022, $301.60 ,-0.005719686,,,,,,,,,,,,
21/01/2022, $296.03 ,-0.018640836,,,,,,,,,,,,
24/01/2022, $296.37 ,0.001147873,,,,,,,,,,,,
25/01/2022, $288.49 ,-0.02694825,,,,,,,,,,,,
26/01/2022, $296.71 ,0.028094808,,,,,,,,,,,,
27/01/2022, $299.84 ,0.010493768,,,,,,,,,,,,
28/01/2022, $308.26 ,0.027694584,,,,,,,,,,,,
31/01/2022, $310.98 ,0.008785019,,,,,,,,,,,,
01/02/2022, $308.76 ,-0.007164325,,,,,,,,,,,,
02/02/2022, $313.46 ,0.015107484,,,,,,,,,,,,
03/02/2022, $301.25 ,-0.039731275,,,,,,,,,,,,
04/02/2022, $305.94 ,0.015448519,,,,,,,,,,,,
07/02/2022, $300.95 ,-0.016444866,,,,,,,,,,,,
08/02/2022, $304.56 ,0.011923974,,,,,,,,,,,,
09/02/2022, $311.21 ,0.021599813,,,,,,,,,,,,
10/02/2022, $302.38 ,-0.028783421,,,,,,,,,,,,
11/02/2022, $295.04 ,-0.024573564,,,,,,,,,,,,
14/02/2022, $295.00 ,-0.000135584,,,,,,,,,,,,
15/02/2022, $300.47 ,0.018372559,,,,,,,,,,,,
16/02/2022, $299.50 ,-0.003233498,,,,,,,,,,,,
17/02/2022, $290.73 ,-0.029719416,,,,,,,,,,,,
18/02/2022, $287.93 ,-0.009677606,,,,,,,,,,,,
22/02/2022, $287.72 ,-0.00072961,,,,,,,,,,,,
23/02/2022, $280.27 ,-0.026234361,,,,,,,,,,,,
24/02/2022, $294.59 ,0.049831135,,,,,,,,,,,,
25/02/2022, $297.31 ,0.009190806,,,,,,,,,,,,
28/02/2022, $298.79 ,0.00496562,,,,,,,,,,,,
01/03/2022, $294.95 ,-0.012935135,,,,,,,,,,,,
02/03/2022, $300.19 ,0.017609757,,,,,,,,,,,,
03/03/2022, $295.92 ,-0.01432646,,,,,,,,,,,,
04/03/2022, $289.86 ,-0.0206911,,,,,,,,,,,,
07/03/2022, $278.91 ,-0.038508899,,,,,,,,,,,,
08/03/2022, $275.85 ,-0.011031909,,,,,,,,,,,,
09/03/2022, $288.50 ,0.044837846,,,,,,,,,,,,
10/03/2022, $285.59 ,-0.01013787,,,,,,,,,,,,
11/03/2022, $280.07 ,-0.019517644,,,,,,,,,,,,
14/03/2022, $276.44 ,-0.013045773,,,,,,,,,,,,
15/03/2022, $287.15 ,0.038010928,,,,,,,,,,,,
16/03/2022, $294.39 ,0.024900692,,,,,,,,,,,,
17/03/2022, $295.22 ,0.002815422,,,,,,,,,,,,
18/03/2022, $300.43 ,0.017493941,,,,,,,,,,,,
21/03/2022, $299.16 ,-0.004236234,,,,,,,,,,,,
22/03/2022, $304.06 ,0.016246503,,,,,,,,,,,,
23/03/2022, $299.49 ,-0.015144022,,,,,,,,,,,,
24/03/2022, $304.10 ,0.015275567,,,,,,,,,,,,
25/03/2022, $303.68 ,-0.001382079,,,,,,,,,,,,
